,Title,Lyrics,Unnamed: 0
10,Behind The Wall Of Sleep/Wasp,"



Visions cupped within a flower
Deadly petals with strange power
Faces shine a deadly smile
Look upon you at your trial

Chill that numbs from head to toe
Icy sun with frosty glow
Words that grow read to your sorrow
Words that grow read no tomorrow

Feel your spirit rise with the breeze
Feel your body falling to it's knees
Sleeping wall of remorse
Turns your body to a corpse
Turns your body to a corpse
Turns your body to a corpse
Sleeping wall of remorse
Turns your body to a corpse

Now from darkness there springs light
Wall of Sleep is cool and bright
Wall of Sleep is lying broken
Sun shines in you have awoken


",2.0
11,N.I.B.,"



Oh yeah!

Some people say my love cannot be true
Please believe me, my love, and I'll show you
I will give you those things you thought unreal
The sun, the moon, the stars all bear my seal

Oh yeah!

Follow me now and you will not regret
Leaving the life you led before we met
You are the first to have this love of mine
Forever with me till the end of time

Your love for me has just got to be real
Before you know the way I'm going to feel
I'm going to feel
I'm going to feel

Oh yeah!

Now I have you with me, under my power
Our love grows stronger now with every hour
Look into my eyes, you'll see who I am
My name is Lucifer, please take my hand

Oh yeah!

Follow me now and you will not regret
Leaving the life you led before we met
You are the first to have this love of mine
Forever with me till the end of time

Your love for me has just got to be real
Before you know the way I'm going to feel
I'm going to feel
I'm going to feel

Oh yeah!

Now I have you with me, under my power
Our love grows stronger now with every hour
Look into my eyes, you'll see who I am
My name is Lucifer, please take my hand


",3.0
12,Evil Woman,"



I see the look of evil in your eyes
You've been filling me all full of lies
Sorrow will not change your shameful deed
You will bear someone else's bitter seed

Evil woman, don't you play your games with me
Evil woman, don't you play your games with me

Now I know just what you're looking for
You want me to claim this child you bore
Well you know that it was he not me
And you know the way it's got to be

Evil woman, don't you play your games with me
Evil woman, don't you play your games with

Evil woman, don't you play your games with me
Evil woman, don't you play your games with me

Wickedness lies in your moistened lips
Your body moves just like the crack of a whip
Black cat sleeps on top of your stained bed
You sure wish that you could see me dead

Evil woman, don't you play your games with me
Evil woman, don't you play your games with me
Evil woman, don't you play your games with me
Evil woman, don't you play your games with me


",4.0
13,Wicked World,"



The world today is such a wicked place
Fighting going on between the human race
People got to work just to earn their bread
While people just across the sea are counting their dead

A politician's job, they say, is very high
For he has to choose who's got to go and die
They can put a man on the moon quite easy
While people here on earth are dying of old diseases

A woman goes to work every day after day
She just goes to work just to earn her pay
Child sitting crying by a life that's harder
He doesn't even know who is his father


",5.0
14,Sleeping Village/A Bit Of Finger,"



Red sun rising in the sky
Sleeping village, cockerels cry
Soft breeze blowing in the trees
peace of mind, feel at ease


",6.0
15,Warning,"



Now the first day that I met ya
I was looking in the sky
When the sun turned all a blur
And the thunderclouds rolled by
The sea began to shiver
And the wind began to moan
It must've been a sign for me
To leave you well alone
I was born without you, baby
But my feelings were a little bit too strong

You never said you love me
And I don't believe you can
'Cause I saw you in a dream 
And you were with another man
You looked so cool and casual
And I tried to look the same
But now I've got to know ya
Tell me who have I to blame?
I was born without you, baby
But my feelings were a little bit too strong
Just a little bit too strong

Now the whole wide world is movin'
'Cause there's iron in my heart
I just can't keep from cryin'
'Cause you say we've got to part
Sorrow grips my voice as I stand here all alone
And watch you slowly take away
A love I've never known
I was born without you, baby
But my feelings were a little bit too strong
Just a little bit too strong


",7.0
16,Trashed,"



It really was a meeting
The bottle took a beating
The ladies of the manor
Watched me climb into my car and
I was going down the track about a hundred and five
They had the stop-watch rolling
I had the headlights blazing I was really alive
And yet my mind was blowing
I drank a bottle of tequila and I feel real good
I had the tape deck roaring
But on the twenty-fifth lap at the canal turn
I went of exploring
I knew I wouldn't make it the car just wouldn't make it
I was turning tires burning
The ground was in my sky
I was laughing the bitch was trashed
And death was in my eye

I had started pretty good and I was feeling my way
I had the wheels in motion
There was Peter and the Green fly laughing like drains
Inebriation
The crowd was roaring I was at Brands Hatch
In my imagination
But at the canal turn I hit an oily patch
Inebriation

Ooh Mr. Miracle you saved me from some pain
I thank you Mr. Miracle I won't get trashed again
Ooh can you hear my lies
Don't you bother with this fool just laugh into my eyes

So we went back to the bar and hit the bottle again
But there was no tequila
Then we started on the whisky just to steady our brains
'Cos there was no tequila
And as we drank a little faster at the top of our hill
We began to roll
And as we get trashed we were laughing still
Well bless my soul


",0.0
17,Disturbing The Priest,"



Let's try getting to the sky
Hang on or you're going to die
Sour life can turn sweet
It's laying at your feet
Sweet child with an innocent smile
Watched closely all the while
Don't be fooled when he cries
Keep looking at the eyes

Good life is contradiction
Because of the crucifixion
If you're ready and have the need
I will take your soul and plant my seed

You just gotta listen to the night at the ending of the day
You just gotta listen to the night as safety slips away
Moving out of sight are the things you need to see to feel
And as they slip away becoming so unreal unreal
You just gotta listen to the night as you're going up stairs
You just gotta listen to the night and don't forget to say your prayers
And as you lose control to the eyes in dark disguise
And icy fingers fan electric lies

We're disturbing the priest
Won't you please come to our feast
Do we mind disturbing the priest
Not at all not at all not in the least

The force of the devil is the darkness the priest has to face
The force of the night will destroy him but will not disgrace
To get into his mind and to his soul you gotta set a light
The flames of doubt so deep inside inside
The devil and the priest can't exist if one goes away
It's just like the battle of the sun and the moon and the night and day
The force of the devil that we're all told to fear
Watched out for religion when he gets too near too near


",1.0
18,Zero The Hero,"



Accept the fact that you're second rate life is easy for you
It's all served up on a gold plated plate
And we don't even have to talk to you
Your face is normal that's the way you're bred
And that's the way you're going to stay
Your head is firmly nailed to your TV channel
But someone else's finger's on the control panel

What you gonna be brother - Zero the hero
Don't you wanna be brother - Zero the hero
When you gonna be brother - Zero the hero
Impossibility impissibolity mother really a hero

You sit there watch it all burn down
It's easy and breezy for you
You play your life to a different sound
No edge no edge you got no knife have you
Your life is a six lane highway to nowhere
You're going so fast you're never ever gonna get down there
Where the heroes sit by the river
With a magic in their music as they eat raw liver

You stand there captain we all look
You really are mediocre
You are the champion in the Acme form book
But I think you're just a joker
Your freedom life ain't so much of a pity
But the luv-a-duckin' way you're walkin' around
The city with your balls and your head full of nothing
It's easy for you sucker but you really need stuffing


",2.0
19,Digital Bitch,"



She wears her leather just to satisfy
She really throws it around
There ain't one thing she can't afford to buy
She's the richest bitch in town

Her big fat daddy was a money machine
He made a fortune from computers
She's got more money than I've ever seen
But she's a greedy emotional looter

Keep away from the digital bitch
She's so rich the digital bitch

She's got five rollers and a fine estate
A big house upon hill
She throws parties just to celebrate
Her life is just one ginormous thrill

She buys poor people just to have around
She has a trophy for each lover
The bitch is rich but baby pound for pound
She's got a lot more to discover

Maybe she could please me if I saw beneath her veil
But she's just imitation woman up for sale

She got so famous that she's on TV
She's got a professional smile
But I switch over 'cos she ain't for me
She disturbs me all the while

She looks so happy but she's got it wrong
She's always going faster
She sings her life to such a different song
She needs a loving and dominant master


",3.0
20,Born Again,"



As you look through my window
Deep into my room
At the tapestries all faded
Their vague and distant glories
Concealed in the gloom
The icy fingers of forgotten passions
Softly brushing my lips
At the tips of my primitive soul

As you look through my door
Deep into my room
Can you feel the mighty wall of power
It's waiting waiting in the glow
The distant shadows of forgotten champions
Those who live in me still
And will rise when we challenge and kill

Born again
You'll be born again

Look at this prince of evil
Fighting for your mind
Fighting all priests of shame
For the thrust of my challenge is aimed
At the hearts of mutant gods
Who think we're all the same
They're controlling our minds
And they use us for fortune and fame

As you look through my window
Deep into my room
At your future and freedom
The grey and plastic retards all floating in circles
And as you taste the fruits of new sensations
Softly brushing your lips
As we rise when we challenge and kill

Born again
You'll be born again

If you want to be a king for a day
Just do what I say

Everybody's got to think like a hunter
Just search for your pray

Be alive through the night and the day
Just do it my way


",4.0
21,Hot Line,"



Take me to the river baby drink my wine
When I'm going down won't you throw me a line
Lead me to religion take me up them stairs
When I take a tumble will you say me some prayers

When will you show me a sign
When will you throw me a line

Help me to the answer baby set me free
I'm torn between the devil and the deep blue sea
Maybe if you wanted you could save my face
Keep me out of trouble and I'm living disgrace

Show me to a sucker and you'll see my name
Standing in a line with the shadows of fame
Lead me to a legend take me up them stairs
When I take a tumble will you say me some prayers


",5.0
22,Keep It Warm,"



Sweet woman are you feeling right
What was it that you did last night
You made me crazy you made me fly
I can't forget the hungry look in your eye
Ooh what's the matter with me?
I'm just a runner I was born free
But since I met you I can't leave you alone
I'm leaving now but I'll be coming home

Keep it warm rat the place by your side
Nobody's gonna take away our magical ride
Keep it warm for when we talk on the phone
Don't forget will you pretty one that your man is coming home

D'you hear the rumour that is going around
Say I'm ruined 'cos I've settled down
It's not true well maybe half and half
You know I love you but I still like a laugh
Ooh I'm feeling fine I got it right for the first time
Sweet woman I can't stay for long but everybody will be prove wrong

I'm like a gypsy I need to roam
But don't worry I'll be coming home
I need the danger I need the thrill
I need to know what is over each hill
Ooh I'm a different man I'm still running but you understand
Since I met you I can't leave you alone
I'm leaving now but I'll be coming home


",6.0
23,I Witness,"



Across the desert of the burning dark, a
Darkness which illuminates you,
There's a place you've always wanted to be,
Whose pleasures always did escape you,
It's always been so out of reach, nothing, so near
Ever felt so far,
And now it's here within your grasp, a never
Ending burning says it all.

[CHORUS:]
As you drive into the darkness, in front the future
Behind you history,
Caught alone in the dark night, do you think
That's the way it's supposed to be.
You don't believe your eyes, cos all they see is
Lies, oh yeah.

You better run from the holy man, the eyes that
Will are set up on you,
Listen not to verse and prayer, songs that thrill
And voices tempt you
The inner flame has fear of death, never, has
Light ever seemed so dark.
Pilgrims of sabbocracy, hear the hounds of
Heaven, as they bark.

[CHORUS:]
As you drive into the darkness, in front the future
Behind you history,
Caught alone in the dark night, do you think
That's the way it's supposed to be.
You don't believe your eyes, cos all they see is
Lies, oh yeah.

I witness a time and a place that never dies, still
Frozen in time,
This darkness the only place that I can hide, I
Witness, a dream.

[CHORUS:]
As you drive into the darkness, in front the future
Behind you history,
Caught alone in the dark night, do you think
That's the way it's supposed to be.
You don't believe your eyes, cos all they see is
Lies, oh yeah.

I witness a time and a place that never dies, still
Frozen in time,
This darkness the only place that I can hide, I
Witness, a dream.
Oh, just a dream.


",0.0
24,Cross Of Thorns,"



Don't come closer, cos it ain't safe here,
Just turn around now and walk away.
I've gotta tell you, there are no rules here,
Sometimes I wonder, what goes on there,
Behind those eyes.

[CHORUS:]
When a promise is broken, and no one trusts you,
Young ones crying with there heads in their hands,
When you talk about saving, the souls of the faithful,
You can't help thinking you've got blood on your
Hands.
From a cross of thorns.

Tongues of fire always talking, wasted words that
Ring in my ears.
We're still waiting, losing patience. Will all the lies
Of, 400 years.
I've got to tell you, there are no rules here,
Sometimes I wonder,
What goes on there, behind those eyes.

[CHORUS:]
When a promise is broken, and no one trusts you,
Young ones crying with there heads in their hands,
When you talk about saving, the souls of the faithful,
You can't help thinking you've got blood on your
Hands.
From a cross of thorns.

We gave you yesterdays, and now you want to-day,
Oh, from the hands of death we take our daily bread,
Now all we do is choke, and the words that you once
Spoke, fade away.
Look at what you've done, oh, it's a cross of thorns.

Take away, this cross of thorns, look at what you've
Done,
It's a cross of thorns, cross of thorns.
When a promise is broken, and no one trusts you,
You've got blood on your hands, from a cross of
Thorns.


",1.0
25,Psychophobia,"



Mortal eyes, looking through a veil of dreams,
Hypnotized, and ever living soul with wings.
Think you're god, but you never had control,
Think you're loved, but there's no one there at all...

[CHORUS:]
My colours all ran dry, and now I see the world in
Black and white,
It's too late now, it's time to kiss the rainbow
Goodbye.

Poison tears running from a palsied face,
Satan nears, descending on the human race.
Think you're god, but you never had control,
Think you're loved, but there's no one there at all...

[CHORUS:]
My colours all ran dry, and now I see the world in
Black and white,
It's too late now, it's time to kiss the rainbow
Goodbye.

Listen to the wind, hear the gospel blow,
Tell me that you don't hear what I'm hearing
And I will let you go.
Look up to the sky, put your trust in me,
Tell me that you ain't feelin' what I'm feelin' and I
Will set you free.

Look into the flame, see the embers glow,
Tell me that you don't see what I'm seein' and I
Will let you go.
Look up at the sky, put your trust in me,
Tell me that you ain't feelin' what I'm feelin' and I
Will set you free.

Look into the flame, see the embers glow,
Tell me that you don't see what I'm seein' and I
Will let you go.
Taste the holy blood, runnin from my veins,
Tell me that you ain't feelin' what I'm feelin' and
I'll take away the pain.
Yes I will now, oh yes I will. It's time to kiss the
Rainbow goodbye.


",2.0
26,Virtual Death,"



Reach out and take for me, fruit of the poison
Tree,
Give me your body and your soul.
My youth is fading fast, years melt into the past,
This mortal life will take it's toll.

CHORUS:
I'm sick and tired of losing, you find this so
Amusing,
It's all I have to keep myself in this state I'm in.

This park of natures fire, my only one desire,
This world is hanging by a thread.

[CHORUS:]
I'm sick and tired of losing, you find this so
Amusing,
It's all I have to keep myself in this state I'm in.

People always tried to change me, alter everything
I am,
Though you find this so amusing, you left me in
This state I'm in.
Virtual death

You may think this existence, is just a human
Weakness,
Inside my mind it's near the end.
Virtual death

I'm losing, I'm fading fast. I'm dying, virtual death.


",3.0
27,Immaculate Deception,"



In the daylight, comes darkness, on the verge of
Night a fear is born,
Sweeter than the dream, the reality of you,
Immaculate, deception.

From the spirit runs poison, and the wheel of
Fortune is ever still,
Sweeter than the light, the darkness of your soul,
Immaculate, deception.

Something has touched, the spirit inside,
Once there was love now there's a void.
Nights of deception, ghosts in my mind,
Am I bewitched, slave to desire.

It's knowing that times keeps rolling on, night after
Day, day after night,
It's knowing that feeling of coming home, to where
My spirit lies.

It's knowing that feeling of coming home, to where
My spirit lies.


",4.0
28,Dying For Love,"



Can you hear, the people sing their song,
To tunes of glory, they move as one.
Refugees of liberation marching on,
Sing your song, rock the nation, write of wrongs.

When you take a life and steal it's shadow, all that's
Left is humanity.

It's getting closer, change is bound to come.
There's someone out there, holding candles to the
Sun.
Then an answer, says that peace will come around,
Stand in line, take your time and be proud.

Take a life and steal it's shadow, all that's left is
Humanity,
Take a man and steal tomorrow, all that's left is you
And me.

Hear them call you, soldiers all in the field of love,
Brothers, sisters, children all dying for love.

Refugees of liberation marching on,
Sing your song, rock the nation, write of wrongs.

Take a life and steal it's shadow, all that's left is
Humanity,
Take a man and steal tomorrow, all that's left is you
And me.

Hear them call you, soldiers all in the field of love,
Brothers, sisters, children all dying for love.

Hear them call you, dying for love, those who know
You, dying for love.
Brothers, sisters, dying for love, saints and sinners,
Dying for love,
Dying for love.


",5.0
29,Back To Eden,"



We are the star demons, reaching out yeah,
We want to touch your world,
We are the dream makers, pure and sweet yeah.
We're gonna change your world.

[CHORUS:]
When you're tired of giving reasons
And freedom fighting freedom
If you're searching for an answer,
We can bring you back to Eden.

There's no need for pain and anger,
The power of peace can destroy the gun.
Leave behind man's vanity yeah,
And living life on the run.

[CHORUS:]
When you're tired of giving reasons
And freedom fighting freedom
If you're searching for an answer,
We can bring you back to Eden.

Is god forgiving, is this the final warning,
Watching as the future turns.
Science fiction, real life addiction.
The human race will never learn.

[CHORUS:]
When you're tired of giving reasons
And freedom fighting freedom
If you're searching for an answer,
We can bring you back to Eden.


",6.0
30,The Hand That Rocks The Cradle,"



Young life, too young, who's eyes are choking,
Can't rest, can't sleep, for dreams that set you
Falling.
Don't feel the hunger, can't drink no holy water,
No light in these eyes, no place for dreams at all
Tonight.

When the hand that rocks the cradle, is the hand
That holds the knife,
And the knife that cuts the cable, kills the spark that
Feeds the life.

[CHORUS:]
No grave could be deep enough, down to hell if we
Were able,
The veil of life was pushed aside, by the hand that
Rocks the cradle.

The oath you take is sacred, to save not steel a life,
Like the passing of the sweetest soul, that looked
Through human eyes.

[CHORUS:]
No grave could be deep enough, down to hell if we
Were able,
The veil of life was pushed aside, by the hand that
Rocks the cradle.

Young life, too young, who's eyes are choking,
Can't rest, can't sleep, for dreams that set you
Falling.
Don't feel the hunger, can't drink no holy water,
No light in these eyes, no place for dreams at all
Tonight.

[CHORUS:]
No grave could be deep enough, down to hell if we
Were able,
The veil of life was pushed aside, by the hand that
Rocks the cradle.

It's the hand that rocks the cradle, is the hand that
Steels the life.


",7.0
31,Cardinal Sin,"



Where do you go when your conscience takes over
Do you crawl to your corner and cry,
Did you imagine, that no one would notice
Just a secret to take when you die.

All the world is watching you, every tongue is
Screaming sinner.

How are your dreams, do they claw at your sleep
Making darkness a place you despise,
Where is the god, that once was your strength
Are you sure he was there from the start.

All the world is watching you, nowhere you can hide,
Every tongue is screaming sinner, only satan hears your cries.

When you sin cardinal sin, you make your bed and on it you must lie,
And your futures looking grim, but did you ever give a damn
About the child, he's running wild,
When you sin cardinal sin, don't you expect the world will treat you well,
We say oh, go to hell.

We point the finger, sin cardinal sin, laugh in your face, sin
Cardinal sin,
We point the finger, laugh in your face,
Cos you're no better than the rest of the human race.

Oh sin cardinal sin, oh sin cardinal sin.


",8.0
32,Evil Eye,"



Something about the way that you look on me,
You watch every move, every word, every fantasy,
Got no time for love, there's something on your mind,
Got the face of an angel but the stare of a devil inside.

[CHORUS:]
Got hell looking up, heaven looking down,
People say the woman's got an evil eye.
Got hell looking up, heaven looking down,
Free me from the woman with the evil eye.

I turn away but still I see that evil stare,
Trapped inside my dreams I know you're there.
Thoughts of happiness you destroyed them all,
First inside my head, then inside my soul.

[CHORUS:]
Got hell looking up, heaven looking down,
People say the woman's got an evil eye.
Got hell looking up, heaven looking down,
Free me from the woman with the evil eye.


",9.0
33,What's The Use?,"



[Bonus track]

What's the use of paradise or everyday of livin'?
They spend and learn in Heaven, sin in Hell

What's the point of children
When evil got before them?
They learn in every tale we tell

There's no point in being kind
What's the use when love becomes an evil of the mind?

Oh Yeah!

What's the use of power
When the battle isn't equal
And we're all too Scared to use it anyway?

What's the point of reason
When no one wants to listen?
Deliverance is all too far away

Oh what's the use?
Oh what's the use?
Tell me, oh, what's the use?
What's the use?

Love becomes an evil of the mind
What's the use?

What's the use?...


",10.0
34,Computer God,"



Waiting for the revolution
New clear vision - genocide
Computerize god - it's the new religion
Program the brain - not the heartbeat

Onward all you crystal soldiers
Touch tomorrow - energize
Digital dreams
And you're the next correction
Man's a mistake so we'll fix it, yeah

Take a look at your own reflection
Right before your eyes
It turns to steel

[Chorus:]
There's another side of heaven
This way - to technical paradise
Find it on the other side
When the walls fall down

Love is automatic pleasure
Virtual reality
Terminal hate - it's a calculation
Send in the child for connection

Take a look at the toys around you
Right before your eyes
The toys are real

[Chorus]

Midnight confessions
Never heal the soul
What you believe is fantasy

Your past is your future
Left behind
Lost in time
Will you surrender

Waiting for the revolution
Program the brain
Not the heartbeat

Deliver us to evil
Deny us of our faith
Robotic hearts bleed poison
On the world we populate

Virtual existence
With a superhuman mind
The ultimate creation
Destroyer of mankind

Termination of our youth
For we do not compute
No !


",0.0
35,After All (The Dead),"



What do you say to the dead
Will you forgive me for living
Can't believe the things that they said
Wonderful day for a killing
It's killing me

What do they do with your soul
Is it just lying there busted
When did you lose all control
Is there someone to be trusted
With my mind

Oh there's insufficient evidence
Of what just might come after
But sometimes out of nowhere
There's demented sounds of laughter

Are we all haunted by
The ghost - imagination
It just can't be
I've seen them there
Howling at the moon

Is it just me
Or does somebody else believe this
Well I'm not alone
And I'm not afraid
There's just one way to see

After all [etc.]

What do you say to the dead
Is there a place where it's burning
It says in a book I once read
Yes there's a chance of returning
Turn to me

The fundamental principles
Say nothing of forever
But those are voices that I hear
Or I'm just not so clever

It can't be me
I know somebody else believes this
Well I'm not alone
I'm not afraid
Just one way to see

After all [etc.]


",1.0
36,TV Crimes,"



One day in the life of the lonely
Another day on the round about
What do they need
Somebody to love

One night in the life of the lonely
There's a miracle on the screen
What did they see
Somebody to love

He guarantees you instant glory
Get your money on the line

Gotta send me a plastic Jesus
There's a check in the mail today
That's what I need
Somebody to love

We just won't eat on Sunday
Gotta buy him a limousine
Somewhere to live
Somewhere to pray

Every penny from the people
Keeps the wolf outside the door
Shop around and find forgiveness for yourself
But he'll give you more, yeah

Holy father, holy ghost
Who's the one who pays the most
Rock the cradle don't you cry
Buy another lullaby

Jack is nimble, Jack is quick
Pick your pocket, turn a trick
Slow and steady, he's got time
To commit another TV crime
TV crime

One day in the life of the lonely
Back again on the round about
What do they need
Somebody to love

Yeah

One night in the life of the lonely
Another miracle on the screen
What did they see
Somebody to love again

A supermarket of salvation
Take a look inside the store
Shop around and find forgiveness for yourself
But he gives more

Holy father, holy ghost
Who's the one who hurts you most
Rock the cradle when you cry
Scream another lullaby

Jack be nimble, Jack be slick
Take the money, get out quick
Slow and steady, so much time
To commit another
TV Crime, TV Crime


",2.0
37,Letters From Earth,"



Well it's a cold world
And I'm in the middle
Caught in the in-between

I don't belong here
So I'm writing to you
It's wrong here
Where I'm sending you some

[Chorus:]
Letters from earth, yeah

Well it's a new world
And now I'm a stranger
Stranger than you know

I don't belong here
And I'm writing to you
With blood on my hands

What if I send you madness
What if I send you pain
And letters from earth, ooh
All right

Come on it's another game
But you gotta play on
Cause they say it's just pretend
Ask them why they say you'll never, never die
Come on - the game is called the end

Well it's a cold world
And I'm in the middle
Caught in the in-between

I don't belong here
So I'm writing to you
Hey let me explain

What if I send you confusion
What is the time and the pain worth
Oh no no
I'm only sending -
Letters from the earth

Letters from earth, ...


",3.0
